Event	ID	Name			Wwise Object Path	Notes
	354821980	Play_Ambience_Ground_Enemy_Bigger			\Default Work Unit\Enemy\Basic\Ambiences\Play_Ambience_Ground_Enemy_Bigger	
	512754046	Play_Ground_Enemy_Melee_Attack			\Default Work Unit\Enemy\Basic\Play_Ground_Enemy_Melee_Attack	
	888154214	Play_Air_Enemy_Ranged_Attack			\Default Work Unit\Enemy\Basic\Play_Air_Enemy_Ranged_Attack	
	1484250099	Play_Air_Enemy_Flying			\Default Work Unit\Enemy\Basic\Ambiences\Play_Air_Enemy_Flying	
	2336839859	Play_Ground_Enemy_Ranged_Attack			\Default Work Unit\Enemy\Basic\Play_Ground_Enemy_Ranged_Attack	
	3197540882	Play_Ground_Enemy_Melee_Bigger_Footsteps			\Default Work Unit\Enemy\Basic\Play_Ground_Enemy_Melee_Bigger_Footsteps	
	3545181809	Play_Ambience_Ground_Enemy			\Default Work Unit\Enemy\Basic\Ambiences\Play_Ambience_Ground_Enemy	
	3600261322	Play_Ground_Enemy_Footsteps			\Default Work Unit\Enemy\Basic\Play_Ground_Enemy_Footsteps	
	4053597708	Play_Ground_Enemy_Melee_Attack_01			\Default Work Unit\Enemy\Basic\Play_Ground_Enemy_Melee_Attack_01	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	8160346	Ground_Enemy_Melee_Bigger_Footsteps	C:\Users\themo\OneDrive\Documents\GitHub\Project-Chance\Project Chance\Project Chance_WwiseProject\.cache\Mac\SFX\Enemies\Basic\Bigger Ground Enemy\Ground_Enemy_Melee_Bigger_Footsteps_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Basic\Bigger Ground Enemy\Ground_Enemy_Melee_Bigger_Footsteps		89584
	267594868	Ground_Enemy_Footsteps	C:\Users\themo\OneDrive\Documents\GitHub\Project-Chance\Project Chance\Project Chance_WwiseProject\.cache\Mac\SFX\Enemies\Basic\Ground Enemy\Ground_Enemy_Footsteps_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Basic\Ground Enemy\Ground_Enemy_Footsteps		22444
	286797296	Stinger_Ground_Enemy_Bigger_Ambience_01	C:\Users\themo\OneDrive\Documents\GitHub\Project-Chance\Project Chance\Project Chance_WwiseProject\.cache\Mac\SFX\Stinger_Ground_Enemy_Bigger_Ambience_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Basic\Bigger Ground Enemy\Ground_Enemy_Bigger_Ambience\Stingers_ambiences\Stinger_Ground_Enemy_Bigger_Ambience_01		286528
	376328550	Air_Enemy_Ranged_Attack	C:\Users\themo\OneDrive\Documents\GitHub\Project-Chance\Project Chance\Project Chance_WwiseProject\.cache\Mac\SFX\Enemies\Basic\Air Enemy\Air_Enemy_Ranged_Attack_E992FCE9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Basic\Air Enemy\Air_Enemy_Ranged_Attack		9246
	548938292	Ground_Enemy_Ranged_Attack	C:\Users\themo\OneDrive\Documents\GitHub\Project-Chance\Project Chance\Project Chance_WwiseProject\.cache\Mac\SFX\Enemies\Basic\Ground Enemy\Ground_Enemy_Ranged_Attack_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Basic\Ground Enemy\Ground_Enemy_Ranged_Attack		89584
	603567313	Air_Enemy_Flying	C:\Users\themo\OneDrive\Documents\GitHub\Project-Chance\Project Chance\Project Chance_WwiseProject\.cache\Mac\SFX\Enemies\Basic\Air Enemy\Air_Enemy_Flying_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Basic\Air Enemy\Air_Enemy_Flying		89584
	756961344	Ground_Enemy_Melee_Attack	C:\Users\themo\OneDrive\Documents\GitHub\Project-Chance\Project Chance\Project Chance_WwiseProject\.cache\Mac\SFX\Enemies\Basic\Ground Enemy\Ground_Enemy_Melee_Attack_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Basic\Ground Enemy\Ground_Enemy_Melee_Attack		89584
	790539309	Ground_Enemy_Melee_Attack	C:\Users\themo\OneDrive\Documents\GitHub\Project-Chance\Project Chance\Project Chance_WwiseProject\.cache\Mac\SFX\Enemies\Basic\Bigger Ground Enemy\Ground_Enemy_Melee_Attack_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Basic\Bigger Ground Enemy\Ground_Enemy_Melee_Attack		89584
	816202818	Stinger_Ground_Enemy_Bigger_Ambience_02	C:\Users\themo\OneDrive\Documents\GitHub\Project-Chance\Project Chance\Project Chance_WwiseProject\.cache\Mac\SFX\Stinger_Ground_Enemy_Bigger_Ambience_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Basic\Bigger Ground Enemy\Ground_Enemy_Bigger_Ambience\Stingers_ambiences\Stinger_Ground_Enemy_Bigger_Ambience_02		258704
	948367304	Ground_Enemy_Bigger_Ambience	C:\Users\themo\OneDrive\Documents\GitHub\Project-Chance\Project Chance\Project Chance_WwiseProject\.cache\Mac\SFX\Ground_Enemy_Bigger_Ambience_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Basic\Bigger Ground Enemy\Ground_Enemy_Bigger_Ambience\Ground_Enemy_Bigger_Ambience		1790464

